 id    type   Ptrue     P1      P2       Pi1      Pi2
 O_00001   O   319.69   318.47   171.23   318.47   374.53
 O_00002   O   231.00   229.89   617.28   229.88   617.28
 O_00003   O   200.12   201.61   621.12   202.43   515.46
 O_00004   O   153.87   153.37   108.58   153.61   108.70
 O_00005   O   208.59   209.21   133.51   209.64   487.81
 O_00006   O   323.10   328.95   478.47   331.13   395.26
 O_00007   O   153.87   153.61   108.93   153.61   109.17
 O_00008   O   193.16   191.20   384.62   190.84   381.68
 O_00009   O   127.67   127.88   103.31   128.53   101.42
 O_00010   O   201.74   201.61   239.23   203.67   408.16
 O_00011   O   389.26   389.11   187.97   389.11   588.24
 O_00012   O   143.97   144.09   209.64   144.09   209.64
 O_00013   O   120.69   179.86   120.48   363.64   181.49
 O_00014   O   358.81   349.65   179.21   346.02   179.86
 O_00015   O   143.97   143.88   236.41   143.68   235.85
 O_00016   O   376.36   370.37   185.87   359.71   192.68
 O_00017   O   148.48   145.56   248.14   145.56   248.14
 O_00018   O   206.40   207.47   134.05   208.33   134.95
 O_00019   O   239.52   241.55   714.29   242.72  1075.27
 O_00020   O   323.10   148.81   257.73   320.51   161.29
 O_00021   O   223.21   224.22   440.53   224.22   440.53
 O_00022   O   193.16   192.68   396.83   192.31   389.11
 O_00023   O   203.79   202.84   454.55   202.84   221.24
 O_00024   O   255.30   253.81   140.65   254.45   142.04
 O_00025   O   358.81   180.83   352.11   181.16   350.88
 O_00026   O   792.39   819.67   645.16   862.07   636.94
 O_00027   O   358.42   355.87   505.05   353.36   500.00
 O_00028   O   249.00   246.91   490.20   242.13   487.81
 O_00029   O   371.88   188.32   378.79   188.32   378.79
 O_00030   O   208.99   209.21   133.87   208.33   225.73
 O_00031   O   195.81   222.22   128.53   222.22   128.53
 O_00032   O   153.87   152.67   271.00   152.67   261.78
 O_00033   O   108.60   108.34   153.85   108.11   153.85
 O_00034   O   376.79   375.94   448.43   375.94   452.49
 O_00035   O   358.81   354.61   177.94   361.01   178.89
 O_00036   O   177.15   350.88   105.60   341.30   106.38
 O_00037   O   175.04   175.13   333.33   175.13   162.60
 O_00038   O   254.39   256.41   190.84   255.75   207.47
 O_00039   O   254.39   252.53   320.51   237.53   316.46
 O_00040   O   277.01   278.55   319.49   278.55   317.46
 O_00041   O   172.65   172.12   312.50   171.82   312.50
 O_00042   O   172.65   173.61   346.02   173.01   117.37
 O_00043   O   148.02   148.15   246.31   148.37   248.14
 O_00044   O   208.99   205.76   174.22   205.76   174.22
 O_00045   O   127.60   127.55   200.00   125.31   193.42
 O_00046   O   322.06   324.68   150.15   164.20   282.49
 O_00047   O   231.00   230.41   209.21   230.95   209.64
 O_00048   O   165.89   164.47   113.77   113.38   164.20
 O_00049   O   141.24   132.45   141.44   135.69   105.37
 O_00050   O   222.82   222.22   704.23   226.24   450.45
 O_00051   O   239.52   239.23   224.22   240.38   367.65
 O_00052   O   143.97   145.14   143.06   144.93   107.41
